WADMPR,WADMKK,WADMKC,Target,Tanggal,Month,Year,twi_final,elevation_mean,slope_mean,soil_type,drainage_pct,precip_t0,precip_t1,precip_t2,ndvi,mndwi,ndbi,precip_3d,precip_7d,nb_precip_t0,nb_precip_t1,nb_precip_t2,nb_twi,nb_elevation,nb_slope,nb_drainage,nb_soil,nb_ndvi,nb_mndwi,nb_ndbi,1daylag,3daylag,7daylag,ibi,nb_ibi
JAWA TENGAH,PEMALANG,BELIK,0,1/13/2019,1,2019,7.658266157,604.0263919,10.67020569,4,2.823146433,24.67999935,8.110000134,5.159999728,0.513800456,0.18415447,-0.174723603,37.94999921,61.86499809,14.23852894,7.892352777,4.866176316,7.998685325,519.5125363,9.477761525,2.751873845,4.352941176,0.592969708,0.149215883,-0.189209046,473.4956832,210.7988795,134.8246226,0.381446488,0.49033652
JAWA BARAT,BEKASI,TARUMAJAYA,0,1/13/2019,1,2019,10.42814634,2.416374621,0.780817348,4,4.274152757,28.79500008,4.699999809,4.654999852,0.351576254,0.243442354,-0.061608174,38.14999974,76.84499893,24.10073489,7.502499735,11.06058786,9.966832462,11.287843,1.076707537,3.102150779,2.529411765,0.250676968,0.280931342,0.045978333,913.797852,230.799699,6.029623377,0.073026429,0.140323147
JAWA TIMUR,TUBAN,PALANG,0,1/13/2019,1,2019,9.815883936,23.30731861,2.049648048,6,2.60357433,0.074999996,0.07,0.280000001,0.585384786,0.351119725,0.013070252,0.424999997,19.35499974,1.342222181,0.55499998,2.030555516,8.93843936,50.05422991,1.986362411,2.793344389,4.888888889,0.598287373,0.394721014,-0.038114068,2007.360395,3610.977324,568.520665,-0.412104082,-0.132539785
JAWA TIMUR,SAMPANG,JRENGIK,0,1/13/2019,1,2019,9.96016833,30.39272804,2.718522178,6,3.008309667,0.029999999,2.224999845,1.400000006,0.668728643,-0.141097561,0.037055594,3.65499985,15.46499932,0.41049999,5.313499814,2.522499963,9.918531826,42.26631507,2.640919351,2.436761586,6,0.644487133,-0.008080242,0.021571016,4.322222587,2.080158113,10.95365058,-0.647414805,-0.653405162
BANTEN,KOTA TANGERANG,LARANGAN,0,1/14/2019,1,2019,9.280770619,22.97823331,1.390685082,1,1.695633743,4.559999943,24.08499813,10.89999962,0.158135976,0.170262322,0.125388478,39.54499769,127.6249945,11.78632329,28.64529335,11.7286026,9.451720356,27.14626695,1.501814815,3.309183436,2.102941176,0.238423488,0.235546622,0.052134502,36.56030014,95.4593974,320.0829306,0.326513601,-0.004796388
JAWA TENGAH,KEBUMEN,ROWOKELE,0,1/14/2019,1,2019,8.197509875,182.6137459,9.412133247,4,2.629053924,2.439999998,3.610000134,13.60499954,0.765497664,0.103980824,-0.251548403,19.65499967,48.36499983,6.134749867,8.312499931,14.22799981,10.55396183,95.04101898,5.80566711,3.001653724,4.5,0.698792545,0.116056752,-0.198605195,472.4557865,213.0532226,422.5122526,0.769707756,0.607847643
JAWA TIMUR,LUMAJANG,KEDUNGJAJANG,1,1/14/2019,1,2019,8.658911904,166.9775792,5.198516999,6,4.115247856,19.97999954,10.24499989,21.89999914,0.811877984,0.132361521,-0.166780041,52.12499857,96.24499726,23.21187419,8.296249777,19.64656225,8.931425538,258.1194877,4.088570276,3.306044895,5.5,0.686597272,0.110277287,-0.172143656,127.979695,54.74628637,0.235663673,0.284145026,0.508221002
JAWA TIMUR,PASURUAN,GRATI,1,1/15/2019,1,2019,9.946621336,37.38399413,1.679464866,4,3.953400977,21.77999926,30.47000027,0,0.656470962,0.103668432,-0.106605859,52.24999952,93.21499824,19.24868375,28.80763134,1.420263119,9.678248138,177.7110046,3.550805737,3.072426962,5.263157895,0.563985039,-0.008999009,-0.113116424,162.0707141,136.1131519,0.123237421,0.120578804,0.206654445
JAWA TENGAH,KOTA TEGAL,TEGAL TIMUR,1,1/16/2019,1,2019,9.786295024,5.669954294,0.754421899,4,3.418391911,39.26499939,19.99999952,1.199999928,0.26432,-0.007967464,0.052521927,60.46499884,102.174998,27.28999956,35.44194372,4.58166648,9.43656712,26.53980861,1.295855231,3.288148263,4.055555556,0.450359695,0.035969432,-0.051830944,223.1232201,45.73882745,4.559362591,-0.443337717,-0.265714601
JAWA TENGAH,PURWOREJO,BUTUH,1,1/16/2019,1,2019,15.49690876,7.864767893,0.769371487,4,3.447765611,68.59499931,39.45999813,0.73499997,0.532560378,0.01216589,-0.196415474,108.7899974,121.8649974,62.21352734,41.19029298,3.568529317,10.96568197,58.09376954,3.862806847,2.890512123,4.058823529,0.685671922,-0.057831679,-0.169973792,885.6731405,107.8095962,360.2854998,0.756432369,0.50622463
JAWA TENGAH,KEBUMEN,BUAYAN,1,1/16/2019,1,2019,8.765461726,104.9209425,7.853695825,4,2.343386271,81.51999664,95.2899971,2.439999998,0.766980558,0.137103184,-0.222517356,179.2499937,210.3549934,79.04785538,75.26321289,3.078571347,11.27673534,73.70802939,4.872324335,3.061847785,4.428571429,0.706294882,0.153200861,-0.191146431,424.2203886,35.2444571,97.62028144,0.679453935,0.613395563
JAWA TENGAH,CILACAP,KROYA,1,1/16/2019,1,2019,11.3901276,8.653651004,1.594705137,4,3.247973687,93.88999557,73.40499687,3.444999933,0.651969503,0.221401738,-0.127612285,170.7399924,197.8949919,76.98705718,62.9349989,7.669999659,9.411607938,69.34446646,4.51948315,2.812102277,4.705882353,0.705023518,0.06301482,-0.172562244,473.0645036,32.46951983,73.26603311,0.419788873,0.494279472
JAWA TENGAH,PATI,DUKUHSETI,1,1/16/2019,1,2019,9.30473754,18.29430687,1.896306904,6,2.76621297,48.08999634,49.22999954,2.884999931,0.459088122,0.460417499,-0.089566244,100.2049958,103.2499958,53.34916449,51.74749923,6.538333043,9.128098291,167.0330601,6.518394792,2.983080255,5.666666667,0.477584574,0.417769789,-0.151966928,52.34722636,0.915413955,6.73912486,-0.045763544,0.338381483
JAWA TENGAH,JEPARA,DONOROJO,1,1/16/2019,1,2019,4.816326049,111.9899424,7.907351172,6,2.355505555,62.06999588,64.93000031,14.25,0.476502337,0.510427136,-0.132425962,141.2499962,145.5299961,57.5471408,63.99142783,7.73571415,8.826121218,174.9201336,6.264958734,2.958662625,5.714285714,0.436578072,0.450027174,-0.152628754,74.35150564,2.415786442,8.138130698,0.228178058,0.350303184
JAWA TENGAH,JEPARA,DONOROJO,1,1/16/2019,1,2019,4.816326049,111.9899424,7.907351172,6,2.355505555,62.06999588,64.93000031,14.25,0.476502337,0.510427136,-0.132425962,141.2499962,145.5299961,57.5471408,63.99142783,7.73571415,8.826121218,174.9201336,6.264958734,2.958662625,5.714285714,0.436578072,0.450027174,-0.152628754,74.35150564,2.415786442,8.138130698,0.228178058,0.350303184
JAWA TENGAH,JEPARA,KEMBANG,1,1/16/2019,1,2019,8.12224353,195.2299818,6.67503299,6,3.401585205,67.84499931,90.28999901,13.55500031,0.380314897,0.482726638,-0.160531195,171.6899986,188.764998,60.75388781,67.56722132,12.19166644,7.833665908,156.2796358,6.273168589,2.966392865,5.555555556,0.424204345,0.396593561,-0.142946185,236.9128537,92.38125938,46.74867347,0.308796794,0.287428146
JAWA TENGAH,PATI,DUKUHSETI,1,1/17/2019,1,2019,9.30473754,18.29430687,1.896306904,6,2.76621297,20.49499941,48.08999634,49.22999954,0.459088122,0.460417499,-0.089566244,117.8149953,122.5049953,23.87666607,53.34916449,51.74749923,9.128098291,167.0330601,6.518394792,2.983080255,5.666666667,0.477584574,0.417769789,-0.151966928,20.92420513,8.037623057,0.910093398,-0.045763544,0.338381483
JAWA TENGAH,KEBUMEN,AYAH,0,1/17/2019,1,2019,8.217746256,154.595682,9.105718042,6,1.66659452,22.34999943,78.5549984,97.41499329,0.729421128,0.166974208,-0.239689697,198.3199911,223.3799909,19.56730722,81.19922843,77.52692193,9.441938593,62.92109861,4.130519433,3.137325933,4.615384615,0.70332014,0.142370641,-0.185250566,78.25386617,28.47755386,29.42064025,0.721947511,0.635239545
JAWA TIMUR,MADIUN,MADIUN,1,1/18/2019,1,2019,9.549848304,74.84661157,1.858689564,4,4.598788796,4.754999757,47.75499916,7.934999943,0.736506553,0.10986505,-0.118181523,60.44499886,104.2949982,6.061666528,41.66796207,5.514073988,10.23716258,120.7594858,2.312632414,3.822461233,4.740740741,0.711838854,-0.00947277,-0.105333822,1323.115817,1916.453735,3536.105939,0.198500359,0.085489948
