WADMPR,WADMKK,WADMKC,Target,Tanggal,Month,Year,twi_final,elevation_mean,slope_mean,soil_type,drainage_pct,precip_t0,precip_t1,precip_t2,ndvi,mndwi,ndbi,precip_3d,precip_7d,nb_precip_t0,nb_precip_t1,nb_precip_t2,nb_twi,nb_elevation,nb_slope,nb_drainage,nb_soil,nb_ndvi,nb_mndwi,nb_ndbi,1daylag,3daylag,7daylag,ibi,nb_ibi
JAWA TENGAH,KOTA TEGAL,TEGAL TIMUR,1,1/16/2019,1,2019,9.786295024,5.669954294,0.754421899,4,3.418391911,39.26499939,19.99999952,1.199999928,0.26432,-0.007967464,0.052521927,60.46499884,102.174998,27.28999956,35.44194372,4.58166648,9.43656712,26.53980861,1.295855231,3.288148263,4.055555556,0.450359695,0.035969432,-0.051830944,223.1232201,45.73882745,4.559362591,-0.443337717,-0.265910174
JAWA TENGAH,PURWOREJO,BUTUH,1,1/16/2019,1,2019,15.49690876,7.864767893,0.769371487,4,3.447765611,68.59499931,39.45999813,0.73499997,0.532560378,0.01216589,-0.196415474,108.7899974,121.8649974,62.21352734,41.19029298,3.568529317,10.96568197,58.09376954,3.862806847,2.890512123,4.058823529,0.685671922,-0.057831679,-0.169973792,885.6731405,107.8095962,360.2854998,0.756557424,0.506171312
JAWA TENGAH,JEPARA,DONOROJO,1,1/16/2019,1,2019,4.816326049,111.9899424,7.907351172,6,2.355505555,62.06999588,64.93000031,14.25,0.476502337,0.510427136,-0.132425962,141.2499962,145.5299961,57.5471408,63.99142783,7.73571415,8.826121218,174.9201336,6.264958734,2.958662625,5.714285714,0.436578072,0.450027174,-0.152628754,74.35150564,2.415786442,8.138130698,0.227871779,0.350289558
JAWA TENGAH,KEBUMEN,BUAYAN,1,1/16/2019,1,2019,8.765461726,104.9209425,7.853695825,4,2.343386271,81.51999664,95.2899971,2.439999998,0.766980558,0.137103184,-0.222517356,179.2499937,210.3549934,79.04785538,75.26321289,3.078571347,11.27673534,73.70802939,4.872324335,3.061847785,4.428571429,0.706294882,0.153200861,-0.191146431,424.2203886,35.2444571,97.62028144,0.679705779,0.613450785
JAWA TENGAH,JEPARA,DONOROJO,1,1/16/2019,1,2019,4.816326049,111.9899424,7.907351172,6,2.355505555,62.06999588,64.93000031,14.25,0.476502337,0.510427136,-0.132425962,141.2499962,145.5299961,57.5471408,63.99142783,7.73571415,8.826121218,174.9201336,6.264958734,2.958662625,5.714285714,0.436578072,0.450027174,-0.152628754,74.35150564,2.415786442,8.138130698,0.227871779,0.350289558
JAWA TENGAH,CILACAP,KROYA,1,1/16/2019,1,2019,11.3901276,8.653651004,1.594705137,4,3.247973687,93.88999557,73.40499687,3.444999933,0.651969503,0.221401738,-0.127612285,170.7399924,197.8949919,76.98705718,62.9349989,7.669999659,9.411607938,69.34446646,4.51948315,2.812102277,4.705882353,0.705023518,0.06301482,-0.172562244,473.0645036,32.46951983,73.26603311,0.419358043,0.493911126
JAWA TENGAH,JEPARA,KEMBANG,1,1/16/2019,1,2019,8.12224353,195.2299818,6.67503299,6,3.401585205,67.84499931,90.28999901,13.55500031,0.380314897,0.482726638,-0.160531195,171.6899986,188.764998,60.75388781,67.56722132,12.19166644,7.833665908,156.2796358,6.273168589,2.966392865,5.555555556,0.424204345,0.396593561,-0.142946185,236.9128537,92.38125938,46.74867347,0.308554121,0.287524142
JAWA BARAT,BOGOR,JASINGA,0,1/16/2019,1,2019,7.862578209,151.6827255,6.627310252,4,2.633576795,9.654999733,2.190000057,0.814999938,0.520724653,0.30150397,-0.204465434,12.65999973,72.28999794,11.56153805,3.32038453,2.074615294,7.986058324,246.3244971,7.221879666,2.509130842,2.153846154,0.458363096,0.259999064,-0.169599515,197.2299939,386.7593043,302.8281007,0.758420503,0.553366881
JAWA TENGAH,PATI,DUKUHSETI,1,1/17/2019,1,2019,9.30473754,18.29430687,1.896306904,6,2.76621297,20.49499941,48.08999634,49.22999954,0.459088122,0.460417499,-0.089566244,117.8149953,122.5049953,23.87666607,53.34916449,51.74749923,9.128098291,167.0330601,6.518394792,2.983080255,5.666666667,0.477584574,0.417769789,-0.151966928,20.92420513,8.037623057,0.910093398,-0.04587074,0.338386812
JAWA TIMUR,MADIUN,MADIUN,1,1/18/2019,1,2019,9.549848304,74.84661157,1.858689564,4,4.598788796,4.754999757,47.75499916,7.934999943,0.736506553,0.10986505,-0.118181523,60.44499886,104.2949982,6.061666528,41.66796207,5.514073988,10.23716258,120.7594858,2.312632414,3.822461233,4.740740741,0.711838854,-0.00947277,-0.105333822,1323.115817,1916.453735,3536.105939,0.199952485,0.085490499
JAWA TIMUR,MOJOKERTO,NGORO,1,1/18/2019,1,2019,8.651331322,181.4820902,6.488864716,4,2.864637985,22.49499893,32.82999802,21.45999956,0.606371012,-0.009901392,-0.065886992,76.78499651,119.7699956,20.3724996,31.38035682,20.17946388,11.76442785,159.7259277,3.165567159,3.253874355,4.714285714,0.528265512,0.124841361,-0.10790265,1184.801749,1136.805749,1192.020869,-0.07041725,0.204174788
JAWA TENGAH,PEKALONGAN,SIWALAN,1,1/18/2019,1,2019,10.24303542,5.628218661,0.779141989,4,3.946694003,49.99499702,83.31999779,33.15000057,0.315818431,0.232421456,-0.156686823,166.4649954,194.9999939,47.15956381,85.6519554,25.54021696,10.08999237,33.6911163,1.875203619,3.075130172,4.695652174,0.413691701,0.249246147,-0.120357213,266.5262662,196.8195011,95.50808033,0.596254376,0.195328548
JAWA TIMUR,BOJONEGORO,KEPOHBARU,1,1/18/2019,1,2019,9.994796016,22.64624698,0.828869035,6,3.279981443,7.454999685,37.79999828,5.809999824,0.6728243,0.354313213,0.01997147,51.06499779,118.9599932,7.787666321,37.0763319,9.483999658,9.820933173,43.04444136,1.582663864,2.910290411,5.6,0.620920074,0.324762525,-0.043502698,1655.924762,2770.346602,4465.874631,-0.784881639,-0.324634988
JAWA TIMUR,MOJOKERTO,NGORO,1,1/18/2019,1,2019,8.651331322,181.4820902,6.488864716,4,2.864637985,22.49499893,32.82999802,21.45999956,0.606371012,-0.009901392,-0.065886992,76.78499651,119.7699956,20.3724996,31.38035682,20.17946388,11.76442785,159.7259277,3.165567159,3.253874355,4.714285714,0.528265512,0.124841361,-0.10790265,1184.801749,1136.805749,1192.020869,-0.07041725,0.204174788
JAWA TENGAH,BANJARNEGARA,KALIBENING,1,1/18/2019,1,2019,8.622470771,1119.555765,13.81257874,4,1.968271464,30.17500019,36.24499798,35.37999916,0.661453904,0.185220461,-0.253509991,101.7999973,165.4949977,25.89468697,48.1121859,35.05062479,7.331836809,714.5653969,14.13967099,2.249166125,4.125,0.640796125,0.106565568,-0.252752588,141.1913579,195.718204,117.1039386,0.767876496,0.787939953
JAWA TENGAH,GROBOGAN,GABUS,0,1/18/2019,1,2019,8.490735824,108.8626498,3.878464545,6,2.516010979,13.02999973,21.97999907,1.919999957,0.73391595,0.06098813,0.013350365,36.92999876,77.04999887,9.244374812,29.14562434,2.923749939,8.648266287,96.04546945,3.154730863,2.493889322,6,0.732259616,0.009532244,0.005050276,1208.84486,1624.212417,2642.608772,-0.883887143,-0.855016784
JAWA BARAT,GARUT,SUKARESMI,0,1/18/2019,1,2019,7.432697078,1430.895448,11.32226197,4,3.55016538,28.36499977,39.91999912,5.274999976,0.555968196,0.276322651,-0.205262022,73.55999887,105.0149978,30.11781183,38.44249874,8.239999719,7.682598347,1243.214246,11.74652126,2.334575549,4,0.62626939,0.205677386,-0.168931752,85.02206584,24.19407467,50.464678,0.554581422,0.428784663
JAWA TIMUR,SIDOARJO,GEDANGAN,1,1/19/2019,1,2019,10.61519517,4.196645161,0.769312556,4,2.730224321,30.54499912,36.57999802,32.63499928,0.344194778,0.206365184,0.009190643,99.75999641,178.4299949,25.51422125,30.93933309,33.47910983,12.04426043,6.353637718,0.844247484,2.465122582,3.266666667,0.324273806,0.155514378,-0.00791569,3176.591307,3327.381972,1377.122183,-0.044012324,0.03634514
JAWA BARAT,GARUT,BAYONGBONG,1,1/19/2019,1,2019,7.921879871,1154.675984,9.745967152,4,3.725352662,8.475000143,32.12499905,42.75499821,0.58817808,0.271582966,-0.142877803,83.3549974,116.2249968,11.00868397,30.39789421,38.69315695,7.448184754,1161.200444,11.5622989,2.316083866,4,0.648863334,0.181523008,-0.174621591,83.57060747,84.88222009,18.93902987,0.344300751,0.4301119
JAWA TENGAH,BANYUMAS,CILONGOK,0,1/19/2019,1,2019,7.52734303,644.4958801,10.9655783,4,2.007746423,18.98999977,15.20999908,43.44499969,0.713789242,0.091765536,-0.246401123,77.64499855,188.0699959,20.79826081,17.82760807,32.49891229,8.467596944,311.2362334,6.661369598,2.924240084,3.956521739,0.652127603,0.033960806,-0.166505347,275.5307991,859.9555214,119.4011307,0.686324324,0.392438217
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,1,1/20/2019,1,2019,8.312073095,81.19964626,5.128094154,4,1.824371508,3.119999886,7.204999924,25.09499931,0.513959244,0.221745771,0.001195382,35.41999912,76.46499789,5.160740594,8.990740538,23.68166608,9.42092341,113.6705072,3.578929035,2.622111698,4.074074074,0.486562409,0.216823004,-0.025294924,19.68771822,101.3897826,69.71552134,-0.647783678,-0.168675942
JAWA TENGAH,BANYUMAS,SUMPIUH,1,1/20/2019,1,2019,9.342438053,159.50554,8.190698819,6,2.729428092,2.964999855,19.82499933,19.94999886,0.697045785,0.109926039,-0.239446269,42.73999804,212.0899989,4.916666508,15.08833303,17.04761876,9.574701597,88.48094872,5.268750083,2.927601362,4.476190476,0.70137323,0.093373903,-0.192249391,407.9093768,1656.232979,733.6873226,0.727199721,0.597892135
JAWA TENGAH,KENDAL,KENDAL,1,1/20/2019,1,2019,14.40359833,3.737736237,0.624799048,4,3.283511828,5.684999943,13.1699996,30.12499809,0.357091942,0.277721328,-0.144476017,48.97999763,110.9349961,8.021666479,9.417333126,31.16899853,11.87381846,43.12063653,2.522533704,2.90456806,4.4,0.522218719,0.260842646,-0.08665779,155.6860513,488.6504284,223.6920589,0.597712442,0.130067885
JAWA BARAT,BANDUNG,DAYEUHKOLOT,0,1/20/2019,1,2019,29.93402335,665.7021869,0.119055627,6,5.164169589,14.82000017,1.98999989,14.33499956,0.273428855,0.070012672,0.042891395,31.14499962,112.1899964,15.6264405,1.949067759,15.66457584,12.77192299,776.6633149,4.196046546,3.341920158,4.508474576,0.391885912,0.126763423,-0.014404903,1337.215692,2313.630463,3962.040831,0.174497368,-0.1389997
JAWA TIMUR,SUMENEP,LENTENG,0,1/20/2019,1,2019,8.743163158,73.22955293,3.723966967,6,2.330911396,14.36500025,9.114999533,18.15500021,0.70760111,0.286811777,0.042806472,41.63499999,144.8149974,16.37884547,10.24230733,20.35269169,8.984632334,83.25667471,3.380744652,1.910515398,6,0.584885199,0.279296101,-0.01420162,84.09403062,138.6513699,6.837445198,-0.778409688,-0.562312809
BANTEN,PANDEGLANG,PAGELARAN,0,1/20/2019,1,2019,37.64969254,12.9048583,2.180835232,4,3.454723533,5.114999771,17.94999933,18.36999893,0.663534221,0.429196962,-0.15640954,41.43499804,111.994998,6.966249771,16.50156203,17.69843723,8.407966375,144.9521047,5.556984689,2.681770922,4.5,0.683977905,0.285062602,-0.182208444,60.54847704,285.0632937,157.6983293,0.353163497,0.569475541
JAWA TIMUR,NGANJUK,REJOSO,0,1/20/2019,1,2019,8.862143442,135.9041325,3.466748279,6,2.876163392,17.68999958,10.08499932,10.58499956,0.768715348,-0.020364077,-0.038967718,38.35999846,116.8399966,22.99916595,15.51708287,13.03583294,9.21878125,119.2661915,3.284177241,3.047221845,5.166666667,0.726013657,0.015479501,-0.049637605,1195.795015,7842.527711,1882.939977,-0.511801143,-0.407625346
JAWA TENGAH,BREBES,SIRAMPOG,1,1/21/2019,1,2019,7.16099487,1128.111074,14.38024507,4,2.23662107,45.43499851,16.2599988,18.37999964,0.715591748,0.11814957,-0.208943878,80.07499695,201.109992,47.26653781,12.0642303,16.1342306,7.858681707,637.3264799,9.949553823,2.593438716,4,0.648516226,0.073279486,-0.191013437,165.4656508,97.62382204,81.19528499,0.669420009,0.45510723
JAWA TENGAH,KOTA SEMARANG,SEMARANG TIMUR,1,1/21/2019,1,2019,9.969020126,5.518018018,0.817302452,4,2.103250478,44.12499905,5.709999919,8.054999828,0.20380354,0.185378525,0.093354384,57.88999879,137.7949995,39.63065168,4.629347711,8.424782442,10.75689569,85.50628409,3.315756287,2.604202438,4.260869565,0.453159653,0.22017748,-0.024201931,169.9342343,105.4256366,24.80682499,0.32184985,-0.144686952
JAWA BARAT,SUKABUMI,CIKIDANG,1,1/21/2019,1,2019,7.093958247,558.69139,12.47753816,4,1.746957286,33.20499802,5.540000081,2.220000029,0.709847402,0.087695871,-0.23699041,40.96499813,95.77499628,30.21916616,4.387083225,2.250833273,7.380889142,552.2344999,11.38191257,2.97802597,4.333333333,0.640697069,0.100679219,-0.203885511,744.4270965,130.5754093,162.1748827,0.688033344,0.607073097
